CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Satisfaction.Score,Card.Type,Point.Earned
743,France,Male,23,3,110203.77,1,1,0,95583.45,Stayed,1,PLATINUM,476
774,France,Male,49,1,142767.39,1,1,1,8214.41,Stayed,1,SILVER,572
480,Germany,Female,25,3,174330.35,2,0,0,181647.13,Stayed,1,DIAMOND,425
746,Germany,Male,34,6,141806,2,1,1,183494.87,Stayed,3,SILVER,236
778,Germany,Female,29,7,123229.46,1,1,0,181221.09,Stayed,3,PLATINUM,977
803,France,Female,26,4,0,2,1,1,181208.47,Stayed,2,DIAMOND,1000
501,France,Male,40,4,125832.2,1,1,1,100433.83,Stayed,3,DIAMOND,923
726,France,Male,28,2,0,1,0,0,98060.51,Stayed,1,SILVER,983
584,France,Male,49,8,172713.44,1,1,0,113860.81,Stayed,2,DIAMOND,475
754,Germany,Female,39,8,129401.87,1,1,1,87684.93,Stayed,2,GOLD,591
807,Germany,Male,37,10,130110.45,2,0,1,172097.95,Stayed,4,DIAMOND,539
625,France,Male,52,5,164978.01,1,1,1,67788.49,Stayed,3,PLATINUM,482
670,France,Female,39,8,101928.51,1,0,0,89205.54,Stayed,5,DIAMOND,290
794,France,Male,56,9,96951.21,1,1,1,71776.76,Stayed,2,PLATINUM,694
818,Germany,Female,72,8,135290.42,2,1,1,63729.72,Stayed,1,SILVER,726
691,France,Female,33,6,0,2,1,0,164074.89,Stayed,5,SILVER,643
547,Germany,Male,32,8,155726.85,1,1,0,67789.99,Stayed,2,SILVER,309
590,France,Male,32,9,0,2,1,0,138889.15,Stayed,1,SILVER,452
763,France,Female,38,0,152582.2,2,0,0,31892.82,Stayed,4,SILVER,624
531,Germany,Female,64,2,175754.87,2,1,1,60721.4,Stayed,1,DIAMOND,887
762,France,Female,44,7,159316.64,1,0,0,24780.13,Stayed,2,DIAMOND,932
545,Spain,Female,33,7,173331.52,1,1,0,150452.88,Stayed,4,DIAMOND,716
544,France,Male,40,8,0,2,1,0,61581.2,Stayed,5,DIAMOND,408
612,France,Female,35,3,0,1,1,1,48108.72,Stayed,4,GOLD,334
769,Germany,Male,27,7,188614.07,1,1,0,171344.09,Stayed,1,GOLD,883
613,France,Male,40,7,124339.9,1,0,0,193309.58,Stayed,3,DIAMOND,611
645,France,Male,39,8,0,2,0,0,96864.36,Stayed,5,SILVER,287
678,Germany,Male,36,3,145747.67,2,0,1,89566.74,Stayed,1,SILVER,824
665,France,Male,25,7,90920.75,1,0,1,112256.57,Stayed,2,GOLD,611
850,Germany,Female,44,5,128605.32,1,0,1,171096.2,Stayed,2,PLATINUM,952
670,Spain,Female,32,3,0,2,1,0,46175.7,Stayed,5,SILVER,325
566,Germany,Male,54,4,118614.6,2,1,1,172601.62,Stayed,3,SILVER,572
741,France,Female,60,5,0,1,1,1,38914.51,Stayed,1,PLATINUM,563
725,France,Female,44,10,0,1,0,1,93777.61,Stayed,5,SILVER,696
850,France,Male,29,6,0,2,1,1,10672.54,Stayed,1,GOLD,508
600,France,Male,34,0,0,2,0,1,3756.23,Stayed,2,GOLD,964
655,France,Female,20,7,134397.61,1,0,0,28029.54,Stayed,4,GOLD,516
719,Spain,Male,38,0,0,1,1,0,126876.47,Stayed,1,SILVER,954
724,France,Female,34,2,0,2,1,1,118863.38,Stayed,4,GOLD,467
827,France,Male,38,5,0,2,0,0,103305.01,Stayed,2,SILVER,785
501,Germany,Male,24,4,130806.42,2,1,0,80241.14,Stayed,1,GOLD,796
685,France,Female,43,1,132667.17,1,1,1,41876.98,Stayed,3,PLATINUM,943
626,France,Female,35,3,0,1,0,0,80190.36,Stayed,5,SILVER,680
528,France,Female,32,4,85615.66,2,1,0,156192.43,Stayed,2,SILVER,518
758,France,Female,32,2,84378.9,1,1,1,75396.43,Stayed,3,PLATINUM,867
693,France,Male,29,2,151352.74,1,0,0,197145.89,Stayed,1,PLATINUM,248
545,France,Female,26,1,0,2,1,1,199638.56,Stayed,5,PLATINUM,902
671,Germany,Male,35,1,144848.74,1,1,1,179012.3,Stayed,5,PLATINUM,731
676,France,Male,23,1,107787.47,1,0,1,116378.82,Stayed,5,SILVER,597
718,Germany,Male,32,9,169947.41,2,1,1,27979.16,Stayed,1,GOLD,371
700,France,Female,37,7,0,2,1,0,17040.82,Stayed,3,DIAMOND,341
744,France,Female,43,10,147832.15,1,0,1,24234.11,Stayed,3,SILVER,982
615,Spain,Male,41,1,126773.43,1,1,1,55551.26,Stayed,2,SILVER,774
632,France,Female,27,3,107375.82,1,1,1,62703.38,Stayed,2,PLATINUM,627
685,France,Female,33,6,0,2,0,1,186785.01,Stayed,3,SILVER,340
545,Germany,Male,37,9,110483.86,1,1,1,127394.67,Stayed,5,DIAMOND,233
629,Germany,Male,35,8,112330.83,1,1,1,91001.02,Stayed,3,GOLD,556
625,Spain,Female,31,8,0,2,1,0,151843.54,Stayed,2,SILVER,617
647,France,Female,40,9,0,2,0,1,92357.21,Stayed,1,GOLD,852
701,France,Male,33,9,147510.34,1,1,0,190611.92,Stayed,5,DIAMOND,228
639,France,Male,66,0,0,2,0,1,42240.54,Stayed,3,SILVER,877
641,France,Female,42,7,125437.14,2,0,0,164128.58,Stayed,3,PLATINUM,551
605,France,Female,30,9,135422.31,1,0,1,186418.85,Stayed,5,DIAMOND,241
448,France,Female,36,6,83947.12,2,1,0,81999.53,Stayed,4,SILVER,524
752,France,Female,36,2,119912.46,1,1,0,124354.92,Stayed,4,PLATINUM,707
731,Spain,Female,39,2,126816.18,1,1,1,74850.93,Stayed,1,SILVER,403
563,France,Female,34,6,139810.34,1,1,1,152417.79,Stayed,5,DIAMOND,254
632,France,Male,32,6,111589.33,1,1,1,170382.99,Stayed,4,DIAMOND,782
713,France,Male,41,3,0,2,1,0,55772.04,Stayed,3,PLATINUM,443
566,France,Male,34,3,0,1,0,0,188135.69,Stayed,4,GOLD,999
643,Spain,Female,34,8,117451.47,1,1,0,65374.86,Stayed,2,DIAMOND,531
651,France,Female,33,1,96834.78,1,1,0,108764.69,Stayed,4,GOLD,804
690,Spain,Male,36,10,0,2,1,0,55902.93,Stayed,2,GOLD,876
619,Spain,Male,52,8,0,2,1,1,123242.11,Stayed,1,PLATINUM,239
613,France,Male,41,7,0,2,1,0,60297.72,Stayed,3,DIAMOND,776
621,Spain,Female,43,8,0,1,0,0,102806.6,Stayed,1,DIAMOND,590
492,France,Male,35,4,141359.37,2,1,0,39519.53,Stayed,3,PLATINUM,807
712,Spain,Male,74,5,0,2,0,0,151425.82,Stayed,2,GOLD,942
660,France,Male,63,8,137841.53,1,1,1,42790.29,Stayed,2,GOLD,985
557,Spain,Male,36,1,113110.26,1,1,0,98413.1,Stayed,3,DIAMOND,512
714,Germany,Male,42,2,177640.09,1,0,1,47166.55,Stayed,5,GOLD,809
596,Spain,Male,32,4,0,2,0,1,146504.35,Stayed,3,PLATINUM,826
540,Germany,Male,39,1,82531.11,1,1,0,114092.52,Stayed,3,GOLD,361
508,France,Male,35,1,86893.28,1,0,0,59374.82,Stayed,2,SILVER,408
693,Spain,Male,47,8,107604.66,1,1,1,80149.27,Stayed,5,SILVER,446
516,Spain,Female,31,7,0,1,1,0,47018.75,Stayed,2,GOLD,326
796,Germany,Female,40,1,99745.95,1,1,0,177524.19,Stayed,2,DIAMOND,547
604,France,Male,33,3,148659.48,1,0,0,42437.75,Stayed,5,DIAMOND,376
717,France,Female,28,1,90537.16,1,0,1,74800.99,Stayed,3,GOLD,448
444,France,Female,40,5,84350.07,1,1,0,143835.76,Stayed,2,GOLD,580
730,France,Female,34,5,74197.38,2,1,0,96875.52,Stayed,4,PLATINUM,402
649,Spain,Male,51,4,0,1,1,1,150390.57,Stayed,3,PLATINUM,782
744,Spain,Male,44,5,120654.68,1,1,0,82290.81,Stayed,4,DIAMOND,790
639,Germany,Male,35,10,128173.9,2,1,0,59093.39,Stayed,3,PLATINUM,452
534,France,Female,53,7,0,2,1,1,80619.17,Stayed,5,PLATINUM,850
694,France,Female,33,4,129731.64,2,1,0,178123.86,Stayed,3,DIAMOND,718
611,France,Female,37,6,0,2,1,0,110782.88,Stayed,5,DIAMOND,501
793,Spain,Male,25,3,100913.57,1,0,0,10579.72,Stayed,5,SILVER,793
523,Spain,Male,32,4,0,2,1,0,167848.02,Stayed,3,DIAMOND,480
547,Germany,Male,25,4,98141.57,2,1,1,52309.8,Stayed,2,SILVER,837
746,France,Male,36,7,142400.77,1,1,1,193438.69,Stayed,4,DIAMOND,452
800,France,Female,29,2,0,2,0,0,167773.55,Stayed,4,PLATINUM,311
611,Spain,Male,34,4,0,2,1,0,170950.58,Stayed,4,DIAMOND,911
583,France,Female,38,10,0,2,0,1,113597.64,Stayed,4,SILVER,691
663,France,Male,35,9,0,2,1,1,195580.28,Stayed,2,DIAMOND,569
695,France,Male,36,4,161533,1,1,0,100940.91,Stayed,2,GOLD,749
472,Spain,Male,40,4,0,1,1,0,70154.22,Stayed,4,DIAMOND,545
659,Spain,Male,32,3,107594.11,2,1,1,102416.84,Stayed,3,DIAMOND,683
571,France,Male,32,5,131354.25,1,1,0,125256.53,Stayed,1,PLATINUM,607
684,Spain,Female,38,3,0,2,1,0,44255.65,Stayed,4,SILVER,866
751,Spain,Male,33,4,79281.61,1,1,0,117547.76,Stayed,4,GOLD,599
522,France,Male,41,5,144147.68,1,1,1,14789.9,Stayed,3,GOLD,225
772,France,Male,23,2,0,2,1,0,18364.19,Stayed,3,GOLD,407
660,Spain,Male,42,5,0,2,1,0,115509.59,Stayed,5,SILVER,491
510,France,Male,65,2,0,2,1,1,48071.61,Stayed,1,SILVER,280
611,France,Female,43,8,64897.75,1,1,0,114996.33,Stayed,4,SILVER,692
810,France,Female,51,5,0,2,0,1,184524.74,Stayed,1,DIAMOND,527
850,Germany,Female,40,4,97990.49,2,0,0,106691.02,Stayed,1,PLATINUM,251
548,France,Female,41,4,82596.8,1,0,1,55672.09,Stayed,2,SILVER,514
545,Spain,Female,74,3,0,2,1,1,161326.73,Stayed,2,SILVER,423
680,France,Male,34,3,143292.95,1,1,0,66526.01,Stayed,1,SILVER,694
670,France,Male,33,2,141204.65,2,1,0,76257.46,Stayed,5,GOLD,814
422,France,Female,33,2,0,2,1,0,102655.31,Stayed,4,SILVER,332
430,France,Male,38,9,0,2,1,1,12050.77,Stayed,5,SILVER,573
657,France,Male,38,7,0,2,1,0,185827.74,Stayed,1,GOLD,870
576,France,Male,32,7,0,2,1,0,4660.91,Stayed,5,PLATINUM,722
654,Germany,Female,32,1,114510.85,1,1,1,126143.23,Stayed,4,GOLD,224
488,France,Female,34,2,0,2,1,1,181270.84,Stayed,2,PLATINUM,557
592,France,Male,29,7,0,2,1,1,91196.67,Stayed,5,GOLD,624
672,France,Male,37,5,153195.59,1,1,1,162763.01,Stayed,2,PLATINUM,391
694,Germany,Male,37,1,95668.82,2,1,0,100335.55,Stayed,4,GOLD,468
790,Spain,Male,46,2,131365.37,2,1,1,180290.68,Stayed,5,GOLD,242
745,France,Male,46,2,122220.19,1,1,1,118024.1,Stayed,3,DIAMOND,781
542,France,Male,32,7,107871.72,1,1,0,125302.64,Stayed,2,DIAMOND,668
594,France,Male,37,2,0,2,0,1,95864.5,Stayed,4,DIAMOND,303
511,France,Male,58,0,149117.31,1,1,1,162599.51,Stayed,1,GOLD,517
629,Spain,Male,34,1,121151.05,1,0,0,119357.93,Stayed,1,PLATINUM,938
625,Spain,Male,52,8,121161.57,1,1,0,48988.28,Stayed,3,DIAMOND,275
657,Spain,Male,29,7,83889.03,1,1,0,153059.62,Stayed,3,SILVER,682
486,Spain,Male,24,1,0,1,1,0,98802.76,Stayed,5,DIAMOND,937
678,Germany,Female,30,1,139676.95,2,0,1,16146,Stayed,1,SILVER,554
749,Spain,Male,38,9,129378.32,1,1,1,13549.34,Stayed,4,DIAMOND,633
704,France,Male,36,7,120026.98,2,0,1,100601.73,Stayed,1,GOLD,348
613,France,Male,40,4,0,1,0,0,151325.24,Stayed,5,PLATINUM,828
663,France,Male,39,4,0,1,1,0,76884.05,Stayed,1,DIAMOND,900
648,France,Male,26,9,162923.85,1,1,0,98368.24,Stayed,5,GOLD,922
657,France,Male,37,4,82500.28,1,1,1,115260.72,Stayed,5,SILVER,603
834,Spain,Male,34,5,0,2,0,0,53437.1,Stayed,5,GOLD,709
581,Spain,Female,50,4,0,2,1,1,80701.72,Stayed,3,GOLD,232
710,Germany,Male,45,9,108231.37,1,1,1,188574.08,Stayed,5,GOLD,965
630,France,Male,42,6,0,2,1,0,162697.93,Stayed,1,GOLD,986
586,Germany,Male,32,1,149814.54,1,1,0,31830.06,Stayed,3,GOLD,507
730,Spain,Male,62,2,0,2,1,1,186489.95,Stayed,4,GOLD,594
579,Spain,Female,31,9,0,2,1,0,112395.98,Stayed,3,GOLD,297
725,Germany,Male,39,1,50880.98,2,1,1,184023.54,Stayed,4,GOLD,644
690,France,Female,36,6,110480.48,1,0,0,81292.33,Stayed,4,GOLD,276
535,France,Male,33,2,133040.32,1,1,1,110299.78,Stayed,4,DIAMOND,322
575,Spain,Male,53,1,84903.33,2,0,1,26015.8,Stayed,3,GOLD,899
683,France,Male,39,4,0,2,1,0,171716.81,Stayed,2,GOLD,913
620,France,Male,22,0,0,1,1,0,32589.45,Stayed,3,GOLD,911
744,France,Male,56,9,0,2,1,1,169498.61,Stayed,4,SILVER,730
679,France,Male,45,3,146758.24,1,1,0,48466.89,Stayed,4,PLATINUM,873
850,France,Female,33,7,118004.26,1,1,0,183983.82,Stayed,5,SILVER,782
717,Germany,Female,64,10,98362.35,2,1,1,21630.21,Stayed,1,SILVER,682
696,France,Female,41,8,0,2,0,0,28276.83,Stayed,3,PLATINUM,628
653,Spain,Male,55,2,70263.83,1,0,1,62347.71,Stayed,1,GOLD,644
725,France,Male,35,7,75915.75,1,1,0,150507.43,Stayed,1,SILVER,963
747,France,Male,61,7,155973.13,1,0,1,147554.26,Stayed,5,GOLD,527
663,France,Female,27,9,0,2,1,0,150850.29,Stayed,5,DIAMOND,769
658,France,Male,29,3,145512.84,1,1,0,20207.02,Stayed,5,DIAMOND,783
748,France,Female,26,1,77780.29,1,0,1,183049.41,Stayed,3,GOLD,340
612,France,Female,63,2,126473.33,1,0,1,147545.65,Stayed,5,DIAMOND,633
804,France,Male,55,7,0,2,1,1,118752.6,Stayed,5,SILVER,914
782,France,Female,33,2,94493.03,1,0,1,101866.39,Stayed,3,PLATINUM,324
642,France,Male,26,0,0,1,0,0,47472.68,Stayed,5,SILVER,616
674,France,Male,22,3,0,1,1,1,173940.59,Stayed,4,PLATINUM,269
645,Spain,Female,29,4,0,2,1,1,74346.11,Stayed,4,GOLD,268
769,France,Female,73,1,0,1,1,1,29792.11,Stayed,3,DIAMOND,415
567,Germany,Male,40,7,122265.24,1,1,0,138552.74,Stayed,1,SILVER,433
565,Germany,Female,38,2,158651.29,2,1,1,179445.28,Stayed,4,PLATINUM,805
737,France,Male,44,7,0,2,0,0,57898.58,Stayed,2,PLATINUM,315
850,Spain,Male,37,2,0,2,1,0,119969.99,Stayed,2,DIAMOND,272
564,Spain,Male,48,5,132876.23,1,1,0,79259.77,Stayed,1,DIAMOND,741
812,France,Male,24,10,0,2,1,1,156906.15,Stayed,1,PLATINUM,658
758,France,Female,42,7,0,2,0,1,76209.56,Stayed,2,SILVER,430
607,Germany,Male,39,2,84468.67,2,1,1,121945.42,Stayed,5,SILVER,331
707,Spain,Male,32,9,0,2,1,0,126475.79,Stayed,2,PLATINUM,947
609,Spain,Male,37,5,129312.79,1,1,1,26793.82,Stayed,3,PLATINUM,922
525,Spain,Female,57,2,145965.33,1,1,1,64448.36,Stayed,5,PLATINUM,337
738,France,Female,67,1,130652.52,1,0,1,22762.23,Stayed,4,DIAMOND,707
798,Germany,Female,29,8,80204.11,2,1,0,70223.22,Stayed,3,SILVER,965
766,France,Female,52,7,92510.9,2,0,1,66193.61,Stayed,5,DIAMOND,839
803,France,Female,40,6,165526.71,1,1,0,12328.08,Stayed,3,SILVER,880
753,France,Male,92,3,121513.31,1,0,1,195563.99,Stayed,3,PLATINUM,307
701,France,Male,43,2,0,2,1,1,165303.79,Stayed,2,SILVER,633
736,France,Female,36,6,0,1,1,0,70496.66,Stayed,2,GOLD,978
585,France,Female,32,8,144705.87,2,0,0,171482.56,Stayed,1,PLATINUM,767
598,Spain,Female,23,6,0,2,1,0,153229.19,Stayed,2,GOLD,737
606,Germany,Male,39,8,136000.45,2,1,0,31708.53,Stayed,4,SILVER,819
626,France,Male,21,1,0,2,1,0,66232.23,Stayed,3,GOLD,775
582,France,Male,39,5,0,2,1,1,129892.93,Stayed,4,DIAMOND,343
667,Spain,Male,45,3,0,2,0,0,163655.01,Stayed,1,SILVER,814
643,Spain,Male,48,8,0,2,1,0,174729.3,Stayed,1,SILVER,976
740,Spain,Female,31,8,0,2,0,0,86657.48,Stayed,1,GOLD,814
806,France,Female,32,3,63763.49,1,1,0,156593.09,Stayed,1,GOLD,411
551,France,Female,38,10,0,2,1,1,216.27,Stayed,2,SILVER,912
599,Germany,Male,38,9,89111.63,1,0,0,157239.6,Stayed,3,SILVER,600
803,Spain,Female,45,7,0,2,1,1,128378.04,Stayed,1,PLATINUM,589
737,Germany,Male,43,8,96353.8,1,0,0,10209.8,Stayed,1,DIAMOND,373
709,France,Male,42,9,118546.71,1,0,1,77142.85,Stayed,5,GOLD,503
719,Spain,Female,35,8,0,1,1,1,165162.4,Stayed,5,DIAMOND,569
611,France,Male,40,1,0,2,1,1,102547.56,Stayed,2,SILVER,991
724,Germany,Female,53,1,139687.66,2,1,1,12913.92,Stayed,2,DIAMOND,371
527,Germany,Female,41,10,136733.24,1,1,1,57589.29,Stayed,4,DIAMOND,661
582,Germany,Male,26,6,114450.32,1,1,1,14081.64,Stayed,2,SILVER,480
850,France,Male,31,4,0,2,0,0,152298.28,Stayed,5,SILVER,681
638,France,Male,46,9,139859.54,1,1,0,38967.29,Stayed,4,GOLD,946
446,France,Female,51,4,105056.13,1,0,0,70613.52,Stayed,2,DIAMOND,731
491,France,Male,33,5,83134.3,1,1,0,187946.55,Stayed,1,PLATINUM,686
710,France,Male,45,1,0,2,1,1,36154.66,Stayed,2,SILVER,829
675,Spain,Male,66,5,115654.47,2,1,1,131970.86,Stayed,2,GOLD,785
644,Germany,Female,34,10,122196.99,2,1,1,182099.71,Stayed,4,DIAMOND,530
724,France,Male,28,9,0,2,1,1,100240.2,Stayed,2,GOLD,664
617,France,Male,54,6,102141.9,1,1,1,45325.26,Stayed,4,PLATINUM,746
766,Germany,Male,43,6,112088.04,2,1,1,36706.56,Stayed,5,DIAMOND,306
593,Germany,Female,38,5,142658.04,2,0,1,135337.11,Stayed,1,GOLD,698
697,France,Male,36,7,0,2,1,1,74760.32,Stayed,2,DIAMOND,471
774,France,Male,26,2,93844.69,1,1,0,28415.36,Stayed,1,DIAMOND,282
701,France,Female,35,2,0,2,1,1,65765.22,Stayed,5,PLATINUM,939
579,France,Male,39,5,0,2,0,1,39891.84,Stayed,2,GOLD,977
644,Spain,Female,31,5,86006.3,1,1,1,73922.95,Stayed,2,SILVER,274
850,Germany,Male,43,5,129305.09,2,0,1,19244.58,Stayed,4,PLATINUM,615
537,France,Male,26,7,106397.75,1,0,0,103563.23,Stayed,3,DIAMOND,445
524,Germany,Male,29,9,144287.6,2,1,0,32063.3,Stayed,3,PLATINUM,311
637,France,Female,33,9,113913.53,1,0,1,65316.5,Stayed,1,PLATINUM,705
587,Spain,Male,62,7,121286.27,1,0,1,6776.92,Stayed,5,DIAMOND,500
770,France,Female,33,6,0,2,1,1,126131.9,Stayed,2,DIAMOND,497
616,Germany,Female,57,7,116936.81,1,1,1,104379.36,Stayed,2,PLATINUM,336
733,Germany,Female,30,1,102452.71,1,1,0,21556.95,Stayed,5,PLATINUM,950
513,Spain,Female,41,9,107135.04,2,1,1,160546.58,Stayed,1,DIAMOND,576
725,France,Female,31,6,0,1,0,0,61326.43,Stayed,1,DIAMOND,503
841,Spain,Male,41,1,0,2,0,1,193093.77,Stayed,5,SILVER,842
714,Spain,Male,45,0,124693.48,1,0,1,187194.15,Stayed,2,PLATINUM,952
625,France,Male,34,6,0,2,0,0,197283.2,Stayed,5,PLATINUM,503
750,Spain,Female,36,8,112940.07,1,0,1,9855.81,Stayed,3,GOLD,447
800,Spain,Male,38,9,0,1,1,0,78744.39,Stayed,2,DIAMOND,350
651,Germany,Female,25,2,109175.14,2,1,0,114566.47,Stayed,1,SILVER,652
579,Germany,Female,42,3,137560.38,2,1,1,85424.34,Stayed,2,PLATINUM,909
693,France,Female,43,4,152341.55,1,1,0,9241.78,Stayed,5,SILVER,299
758,Germany,Male,32,4,162657.64,2,1,1,115525.13,Stayed,2,GOLD,708
632,France,Male,43,2,100013.51,1,1,0,24275.32,Stayed,5,SILVER,839
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,Stayed,2,PLATINUM,377
591,France,Male,49,3,0,2,1,0,50123.44,Stayed,2,GOLD,560
838,Spain,Male,35,0,0,2,0,1,197305.91,Stayed,1,SILVER,502
620,France,Male,42,4,0,2,1,0,6232.31,Stayed,5,GOLD,402
733,France,Male,22,5,0,2,1,1,117202.19,Stayed,3,DIAMOND,279
848,Spain,Male,22,7,120811.89,1,1,1,185510.34,Stayed,5,GOLD,295
654,France,Female,29,4,96974.97,1,0,1,141404.07,Stayed,2,DIAMOND,342
441,France,Male,60,1,140614.15,1,0,1,174381.23,Stayed,4,SILVER,227
850,Spain,Female,70,5,0,1,1,1,705.18,Stayed,1,DIAMOND,283
792,Germany,Male,36,5,115725.24,2,0,0,1871.25,Stayed,5,DIAMOND,515
699,Spain,Male,40,2,0,1,1,0,78387.32,Stayed,2,DIAMOND,231
683,France,Female,35,6,187530.66,2,1,1,37976.36,Stayed,3,SILVER,511
443,Spain,Male,36,6,70438.01,2,0,1,56937.43,Stayed,4,GOLD,858
806,France,Male,40,5,80613.93,1,1,1,142838.64,Stayed,1,SILVER,314
576,France,Female,29,5,108541.04,1,1,1,126469.09,Stayed,5,DIAMOND,843
600,France,Male,49,7,90218.9,1,1,0,91347.76,Stayed,4,DIAMOND,367
471,Spain,Female,28,5,0,2,1,1,22356.97,Stayed,1,PLATINUM,583
628,France,Male,39,6,0,2,0,0,134441.6,Stayed,3,PLATINUM,887
734,France,Male,51,1,118537.47,1,1,1,116912.45,Stayed,2,DIAMOND,697
665,France,Male,28,8,137300.23,1,1,0,90174.83,Stayed,4,GOLD,638
572,France,Male,24,1,0,2,1,1,151460.84,Stayed,3,GOLD,827
689,Spain,Female,55,4,0,2,1,1,58442.25,Stayed,2,PLATINUM,977
638,Germany,Male,25,4,148045.45,2,1,1,114722.42,Stayed,2,SILVER,537
575,Spain,Female,37,0,0,2,0,0,30114.32,Stayed,2,GOLD,930
652,France,Female,34,6,97435.85,2,1,1,104331.76,Stayed,5,SILVER,604
526,France,Female,36,0,0,2,1,0,97767.63,Stayed,2,PLATINUM,606
660,Spain,Female,33,1,0,2,0,0,117834.91,Stayed,1,PLATINUM,485
688,Germany,Male,29,9,144553.5,2,1,0,143454.95,Stayed,4,SILVER,270
629,France,Male,39,2,129669.32,2,1,0,82774.07,Stayed,4,DIAMOND,716
619,France,Male,58,5,152199.33,1,1,1,86022.09,Stayed,3,SILVER,520
559,France,Male,33,9,111060.05,2,1,0,110371.84,Stayed,1,PLATINUM,242
521,Spain,Female,22,10,0,1,1,1,101311.95,Stayed,3,SILVER,882
814,France,Female,31,6,87772.52,1,1,0,188516.45,Stayed,3,SILVER,870
619,Germany,Female,33,3,100488.92,2,0,1,36446.74,Stayed,4,PLATINUM,522
599,Spain,Female,46,7,81742.84,2,1,0,83282.21,Stayed,3,PLATINUM,381
651,France,Male,23,10,0,2,1,1,170099.23,Stayed,5,SILVER,431
605,Germany,Male,28,10,113690.83,1,1,0,33114.24,Stayed,5,DIAMOND,943
664,France,Female,31,7,104158.84,1,1,0,134169.85,Stayed,2,PLATINUM,951
836,Spain,Female,37,10,0,2,1,0,111324.41,Stayed,1,GOLD,645
606,France,Male,32,6,0,2,0,1,36540.63,Stayed,3,PLATINUM,511
427,Spain,Male,40,8,0,2,1,1,82870.75,Stayed,5,SILVER,778
739,Germany,Male,29,3,59385.98,2,1,1,105533.96,Stayed,5,PLATINUM,429
682,France,Male,26,8,0,2,1,0,178373.43,Stayed,3,SILVER,806
541,France,Male,39,7,0,2,1,0,19823.02,Stayed,5,PLATINUM,781
430,Germany,Male,36,1,138992.48,2,0,0,122373.42,Stayed,3,SILVER,770
680,Spain,Male,35,9,0,2,0,0,143774.06,Stayed,5,PLATINUM,590
674,Germany,Female,38,10,83727.68,1,1,0,45418.12,Stayed,1,DIAMOND,450
811,France,Female,47,3,123365.34,2,0,0,171995.34,Stayed,4,GOLD,601
470,France,Male,30,3,101140.76,1,1,1,50906.65,Stayed,3,SILVER,437
711,France,Male,38,4,123345.85,1,1,0,141827.83,Stayed,2,GOLD,572
513,Spain,Male,39,7,89039.9,2,1,1,146738.83,Stayed,1,DIAMOND,675
739,Spain,Male,31,1,0,2,1,1,58469.75,Stayed,1,GOLD,252
671,France,Female,42,6,0,2,1,0,197202.48,Stayed,5,DIAMOND,393
705,France,Female,39,5,149379.66,2,1,0,96075.55,Stayed,2,PLATINUM,444
686,Spain,Female,35,4,0,2,1,1,159676.55,Stayed,2,GOLD,624
729,France,Male,67,2,94203.8,1,0,1,102391.06,Stayed,2,PLATINUM,948
660,Germany,Female,52,4,86891.84,1,1,0,90877.76,Stayed,4,DIAMOND,753
616,France,Male,40,9,0,2,0,0,93717.55,Stayed,1,SILVER,752
605,Spain,Female,29,3,116805.82,1,0,0,4092.75,Stayed,5,PLATINUM,851
